words,اصل,مبيع,ارتفع,يشغل,عرب,مماثل,احق,انشاء,محاسب,توزيع,جديد,ضرور,جدة,خصوص,مال,ربع,احد,نصاب,سعود,لاعضاء,نتايج,مركز,متطلبا,رقم,سنو,بان,ادار,تعديل,حاضر,اخر,مذكور,مسا,ساد,والخمس,وذل,موافق,سهم,منته,اعمال,رابع,دور,فتر,مرفق,يتعذر,جاهز,اجمال,اسمن,نصف,سبب,انخفاض,وفق,تكلف,اول,موحد,سوف,سوق,تاريخ,طريق,ساع,بنوك,شرك,ارباح,عمل,توص,سيد,علاو,قطران,مليون,اخري,يصبح,تنفيذ,باستخدام,اعل,تود,خسار,بلغ,تمويل,اجتماع,خطاب,اعلان,نايب,ارد,مقارن,معايير,مجا,انتهاء,ملك,اسمنت,يعود,اجراءا,واقع,انعقاد,مراجع,زياد,قرار,تشغيل,مصنع,تحديد,حضور,سيك,مساهم,ارتفاع,قدر,استاذ,لكل,اقل,لانخفاض,اعضاء,مصطحب,تعل,لعام,نظام,طلب,لجن,بند,مجلس,مبلغ,رييس,اضاف,اسم,قايم,COVID,تدعو,مهام,عضو,السن,احتراز,جمع,وانخفاض,ابراء,حساب,شخص,قيم,لارتفاع,تابع,نقد,لانعقاد,مكان,مرتبط,عزيز,ربح,واصدار,عام,نامل,بنك,والتكاليف,ضريب,مرشح,دايم,ماد,اثن,تاثير,صاف,عاد,جراء,تصويت,حال,class
1609648876,0,0,0,0,5,0,0,0,0,0,3,0,0,0,7,0,1,0,2,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,3,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,4,0,0,0,8,0,0,0,0,0,0,0,0,0,16,0,3,0,0,0,0,5,0,1,3,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20,0,0,0,8,0,2,0,2,0,26,1,13,0,11,0,0,0,0,0,0,18,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1608098558,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,4,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1607922012,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,3,0,0,0,0,2,10,0,2,0,0,0,1,0,0,6,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,1,0,0,5,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,1,2,0,0,2,0,2,0,2,0,0,0,3,4,0,0,0,0,2,1,0,0,0,0,26,0,0,0,6,0,0,0,0,0,8,1,8,0,11,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,3,0,0,9,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0
1607403607,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,0,2,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,8,2,0
1606107614,0,0,0,0,1,0,0,2,0,0,2,0,0,0,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,6,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1604988350,1,0,0,0,4,0,3,0,0,0,2,0,2,0,1,0,1,2,1,0,0,2,0,1,0,0,3,0,1,1,0,1,1,0,1,3,0,0,3,2,5,0,5,0,0,0,0,0,0,0,1,0,2,0,0,0,7,9,5,1,12,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,2,0,4,2,3,0,0,0,10,2,0,0,0,0,2,7,1,15,0,0,6,1,2,0,3,0,0,0,1,0,3,1,3,0,1,1,0,0,1,1,2,1,0,0,17,0,0,1,2,0,0,0,0,2,1,0,3,0,0,7,0,1,0,0,4,0,1,0,0,0,3,0,8,0,0
1603803385,0,5,0,0,1,4,0,0,0,0,0,0,0,0,3,7,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,5,0,0,0,5,0,0,6,6,0,2,1,0,0,0,0,1,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,1,0,3,5,0,0,0,0,1,6,0,0,0,1,0,0,2,0,0,0,0,1,10,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,1,0,4,0,3,0,0,0,0,0,13,0,4,0,0,0,1,0,0,0,0,0,8,0,0,0,3,1
1599999829,0,0,0,2,14,0,0,0,0,0,1,0,2,0,6,0,0,0,2,0,2,0,0,4,0,2,19,0,0,4,0,0,1,0,0,4,0,0,4,0,15,3,6,0,0,0,0,0,0,0,5,0,2,0,0,4,6,6,0,0,28,0,1,0,0,0,0,0,0,0,0,0,8,0,0,2,0,12,2,1,0,0,0,3,0,2,2,10,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,3,0,1,0,4,6,4,1,22,0,0,4,0,0,0,0,0,18,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,11,2,0,0,0,0,0,0,4,0,0
1595767079,0,5,0,0,1,4,0,0,0,0,0,0,0,0,4,7,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,5,0,0,6,9,0,2,1,0,0,0,0,1,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,1,0,2,5,0,0,0,0,1,6,0,0,0,1,0,0,2,0,0,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,2,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0
1595766794,0,0,0,0,2,0,2,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1592802018,0,0,0,0,1,0,0,3,0,0,2,0,0,1,3,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,5,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1589087883,0,4,0,0,1,3,0,0,0,1,0,0,0,0,1,7,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,3,0,0,4,5,0,1,1,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,4,0,0,0,0,1,4,0,0,0,1,0,0,1,0,0,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,0,2,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,2,1
1587361103,4,0,0,2,2,0,2,4,0,8,0,0,0,0,21,4,1,2,4,2,3,2,0,4,2,2,25,0,2,1,0,0,3,0,8,26,8,11,3,0,2,0,0,0,6,4,4,6,0,0,3,0,6,0,0,2,5,3,2,0,30,8,0,4,0,0,2,0,0,2,6,0,0,0,0,1,0,10,0,1,2,2,0,0,0,0,0,2,0,0,4,3,14,0,1,0,0,2,3,2,16,0,2,10,2,0,0,5,4,1,4,2,0,8,1,23,6,10,2,4,0,0,0,0,6,4,0,15,0,2,4,0,6,0,2,2,0,1,0,2,0,0,27,0,12,0,0,2,0,2,0,0,0,2,0,2,2,1
1586861246,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
1586861227,0,0,0,2,4,0,5,4,0,10,2,0,1,0,25,5,0,2,4,2,0,6,0,1,2,2,19,0,1,2,0,1,0,0,10,6,8,11,3,0,2,0,2,0,6,4,4,6,0,0,3,0,7,0,0,4,7,6,4,0,33,6,0,4,0,0,2,0,0,2,6,2,3,0,0,0,0,13,0,2,0,2,0,0,1,3,1,2,0,0,4,7,8,0,0,0,0,2,5,0,24,0,2,2,3,1,0,2,0,0,4,3,0,3,1,18,6,1,3,4,0,2,0,0,6,4,2,23,0,2,0,0,6,0,2,2,2,1,0,3,0,0,28,0,0,0,0,2,0,3,0,0,0,4,0,21,0,0
1586063123,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1585140273,0,0,0,2,5,0,3,4,0,10,3,0,1,0,27,5,0,2,5,2,0,6,0,0,2,2,18,0,0,3,0,1,0,0,10,6,8,11,3,0,2,0,2,0,6,4,4,6,0,0,3,0,7,0,0,6,7,5,2,0,33,6,0,4,0,0,2,0,0,2,6,2,2,0,0,0,0,12,0,1,0,2,0,0,1,2,1,2,0,0,4,5,8,0,0,0,0,2,4,0,22,0,2,2,3,1,0,2,0,0,4,3,0,2,1,18,6,1,2,4,0,3,0,0,6,4,2,18,0,2,0,0,6,0,2,2,2,1,0,3,0,0,28,0,0,0,0,2,0,3,0,0,0,4,0,19,0,0
1583125233,0,0,0,0,2,0,2,0,0,10,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,1,2,5,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,5,2,0,2,9,8,0,1,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,2,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,2,0,0,1,2,1,0,1,2,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,5,0,0,0,0,0,0,4,0,4,0,2,0,0,2,0,0,0,0,0,0,0,1
1583125212,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,2,2,1,1,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,2,3,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,1,0,1,1,1,0,0,0,0,0,6,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,2,1
1576499157,0,0,0,0,1,0,0,3,0,0,2,0,0,1,3,2,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1572179576,0,6,0,0,1,4,0,0,0,0,0,0,0,0,4,7,0,0,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,5,0,0,6,5,3,2,2,0,0,3,0,1,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,1,0,5,5,1,0,0,0,1,6,0,0,0,1,0,0,2,0,0,0,0,1,11,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,6,0,1,0,3,3,3,0,0,0,0,0,13,0,4,0,0,0,3,0,0,0,0,1,8,0,0,0,3,1
1569327901,0,0,0,0,1,0,0,3,0,0,2,0,0,1,3,2,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1564898311,2,0,0,0,2,0,2,0,0,5,0,0,0,0,2,0,0,0,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,4,1,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,2,1,1,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1
